Hugo Symbol	ensembl	oncokb	mskcc	mane
ABCB1	ENST00000622132			ENST00000622132
ABL1	ENST00000318560	ENST00000318560	ENST00000318560	ENST00000318560
ABL2	ENST00000502732	ENST00000502732		ENST00000502732
ABRAXAS1	ENST00000321945	ENST00000321945	ENST00000321945	ENST00000321945
ACKR3	ENST00000272928	ENST00000272928		ENST00000272928
ACTG1	ENST00000573283	ENST00000573283		ENST00000573283
ACVR1	ENST00000434821	ENST00000263640	ENST00000434821	ENST00000434821
ACVR1B	ENST00000257963	ENST00000257963		ENST00000257963
ACVR2A	ENST00000241416	ENST00000241416		ENST00000241416
ADARB2	ENST00000381312			ENST00000381312
ADGRA2	ENST00000412232	ENST00000412232		ENST00000412232
ADGRG4	ENST00000394143			ENST00000394143
ADHFE1	ENST00000396623	ENST00000396623		ENST00000396623
AFDN	ENST00000683244	ENST00000447894		
AFF4	ENST00000265343	ENST00000265343		ENST00000265343
AGGF1	ENST00000312916			ENST00000312916
AGK	ENST00000649286			ENST00000649286
AGO1	ENST00000373204	ENST00000373204	ENST00000373204	ENST00000373204
AGO2	ENST00000220592	ENST00000220592	ENST00000220592	ENST00000220592
AIP	ENST00000279146			ENST00000279146
AJUBA	ENST00000262713	ENST00000262713		ENST00000262713
AKT1	ENST00000649815	ENST00000349310	ENST00000407796	ENST00000649815
AKT1S1	ENST00000344175			ENST00000344175
AKT2	ENST00000392038	ENST00000392038	ENST00000392038	ENST00000392038
AKT3	ENST00000673466	ENST00000263826	ENST00000673466	ENST00000673466
ALB	ENST00000295897	ENST00000295897	ENST00000295897	ENST00000295897
ALDH1L2	ENST00000258494	ENST00000258494		ENST00000258494
ALDH2	ENST00000261733	ENST00000261733		ENST00000261733
ALK	ENST00000389048	ENST00000389048	ENST00000389048	ENST00000389048
ALOX12B	ENST00000647874	ENST00000647874	ENST00000647874	ENST00000647874
ALOX15B	ENST00000380183			ENST00000380183
ALOX5	ENST00000374391			ENST00000374391
AMER1	ENST00000374869	ENST00000374869	ENST00000374869	ENST00000374869
ANKRD11	ENST00000301030	ENST00000301030	ENST00000301030	ENST00000301030
ANKRD26	ENST00000376087	ENST00000376087		ENST00000376087
APC	ENST00000257430	ENST00000257430	ENST00000257430	ENST00000257430
APEX1	ENST00000216714			ENST00000216714
APLNR	ENST00000606794	ENST00000257254	ENST00000606794	
AR	ENST00000374690	ENST00000374690	ENST00000374690	ENST00000374690
ARAF	ENST00000377045	ENST00000377045	ENST00000377045	ENST00000377045
ARHGAP26	ENST00000645722	ENST00000274498		ENST00000645722
ARHGAP35	ENST00000672722	ENST00000404338	ENST00000672722	ENST00000672722
ARHGEF12	ENST00000397843	ENST00000397843		ENST00000397843
ARHGEF28	ENST00000513042	ENST00000426542		
ARID1A	ENST00000324856	ENST00000324856	ENST00000324856	ENST00000324856
ARID1B	ENST00000636930	ENST00000647938	ENST00000647938	ENST00000636930
ARID2	ENST00000334344	ENST00000334344	ENST00000334344	ENST00000334344
ARID3A	ENST00000263620	ENST00000263620		ENST00000263620
ARID3B	ENST00000346246	ENST00000346246		ENST00000346246
ARID3C	ENST00000378909	ENST00000378909		
ARID4A	ENST00000355431	ENST00000355431		ENST00000355431
ARID4B	ENST00000264183	ENST00000264183		ENST00000264183
ARID5A	ENST00000357485	ENST00000357485		ENST00000357485
ARID5B	ENST00000279873	ENST00000279873	ENST00000279873	ENST00000279873
ASXL1	ENST00000375687	ENST00000375687	ENST00000375687	ENST00000375687
ASXL2	ENST00000435504	ENST00000435504	ENST00000435504	ENST00000435504
ATF1	ENST00000262053	ENST00000262053		ENST00000262053
ATIC	ENST00000236959	ENST00000236959		ENST00000236959
ATM	ENST00000675843	ENST00000278616	ENST00000675843	ENST00000675843
ATP1A1	ENST00000295598	ENST00000295598		ENST00000295598
ATP6AP1	ENST00000369762	ENST00000369762		ENST00000369762
ATP6V1B2	ENST00000276390	ENST00000276390		ENST00000276390
ATR	ENST00000350721	ENST00000350721	ENST00000350721	ENST00000350721
ATRIP	ENST00000320211	ENST00000320211		ENST00000320211
ATRX	ENST00000373344	ENST00000373344	ENST00000373344	ENST00000373344
ATXN2	ENST00000673436	ENST00000550104		ENST00000673436
ATXN7	ENST00000674280	ENST00000295900	ENST00000522345	ENST00000674280
AURKA	ENST00000395915	ENST00000312783	ENST00000347343	ENST00000395915
AURKB	ENST00000585124	ENST00000585124	ENST00000585124	ENST00000585124
AXIN1	ENST00000262320	ENST00000262320	ENST00000262320	ENST00000262320
AXIN2	ENST00000307078	ENST00000307078	ENST00000307078	ENST00000307078
AXL	ENST00000301178	ENST00000301178	ENST00000301178	ENST00000301178
B2M	ENST00000648006	ENST00000559916	ENST00000648006	ENST00000648006
BAALC	ENST00000309982	ENST00000297574		ENST00000309982
BABAM1	ENST00000598188	ENST00000359435	ENST00000359435	ENST00000598188
BACH2	ENST00000257749	ENST00000257749		ENST00000257749
BAP1	ENST00000460680	ENST00000460680	ENST00000460680	ENST00000460680
BARD1	ENST00000260947	ENST00000260947	ENST00000260947	ENST00000260947
BBC3	ENST00000439096	ENST00000449228	ENST00000449228	ENST00000439096
BCL10	ENST00000648566	ENST00000648566	ENST00000648566	ENST00000648566
BCL11B	ENST00000357195	ENST00000357195		ENST00000357195
BCL2	ENST00000333681	ENST00000333681	ENST00000398117	ENST00000333681
BCL2L1	ENST00000307677	ENST00000307677	ENST00000307677	ENST00000307677
BCL2L11	ENST00000393256	ENST00000393256	ENST00000393256	ENST00000393256
BCL2L2	ENST00000250405	ENST00000250405		ENST00000250405
BCL3	ENST00000164227	ENST00000164227		ENST00000164227
BCL6	ENST00000406870	ENST00000232014	ENST00000406870	ENST00000406870
BCL7A	ENST00000261822	ENST00000261822		ENST00000261822
BCL9	ENST00000234739	ENST00000234739		ENST00000234739
BCOR	ENST00000378444	ENST00000378444	ENST00000378444	ENST00000378444
BCORL1	ENST00000540052	ENST00000218147		ENST00000540052
BCR	ENST00000305877	ENST00000305877		ENST00000305877
BIRC3	ENST00000263464	ENST00000263464	ENST00000615299	ENST00000263464
BIVM-ERCC5	ENST00000639435		ENST00000639435	
BLM	ENST00000355112	ENST00000355112	ENST00000355112	ENST00000355112
BMPR1A	ENST00000372037	ENST00000372037	ENST00000372037	ENST00000372037
BRAF	ENST00000646891	ENST00000646891	ENST00000646891	ENST00000644969
BRCA1	ENST00000357654	ENST00000357654	ENST00000357654	ENST00000357654
BRCA2	ENST00000380152	ENST00000380152	ENST00000380152	ENST00000380152
BRD3	ENST00000303407	ENST00000303407		ENST00000303407
BRD4	ENST00000679869	ENST00000263377	ENST00000263377	ENST00000679869
BRIP1	ENST00000259008	ENST00000259008	ENST00000259008	ENST00000259008
BRSK1	ENST00000309383	ENST00000309383		ENST00000309383
BTG1	ENST00000256015	ENST00000256015		ENST00000256015
BTG2	ENST00000290551	ENST00000290551		ENST00000290551
BTK	ENST00000308731	ENST00000308731	ENST00000308731	ENST00000308731
BUB1B	ENST00000287598	ENST00000287598		ENST00000287598
CACNA1D	ENST00000350061	ENST00000350061		ENST00000350061
CAD	ENST00000264705	ENST00000264705		ENST00000264705
CALR	ENST00000316448	ENST00000316448	ENST00000316448	ENST00000316448
CAMTA1	ENST00000303635	ENST00000303635		ENST00000303635
CANT1	ENST00000392446	ENST00000302345		ENST00000392446
CARD11	ENST00000396946	ENST00000396946	ENST00000396946	ENST00000396946
CARM1	ENST00000327064	ENST00000327064	ENST00000327064	ENST00000327064
CASP8	ENST00000673742	ENST00000358485	ENST00000358485	ENST00000673742
CASR	ENST00000639785			ENST00000639785
CBFA2T3	ENST00000268679	ENST00000268679		ENST00000268679
CBFB	ENST00000412916	ENST00000412916	ENST00000412916	ENST00000412916
CBL	ENST00000264033	ENST00000264033	ENST00000264033	ENST00000264033
CBLB	ENST00000394030	ENST00000394030		ENST00000394030
CCN6	ENST00000368666			ENST00000368666
CCNB3	ENST00000376042	ENST00000276014		ENST00000376042
CCND1	ENST00000227507	ENST00000227507	ENST00000227507	ENST00000227507
CCND2	ENST00000261254	ENST00000261254	ENST00000261254	ENST00000261254
CCND3	ENST00000372991	ENST00000372991	ENST00000372991	ENST00000372991
CCNE1	ENST00000262643	ENST00000262643	ENST00000262643	ENST00000262643
CCNQ	ENST00000576892	ENST00000576892	ENST00000576892	ENST00000576892
CD19	ENST00000538922	ENST00000538922		ENST00000538922
CD22	ENST00000085219	ENST00000085219		ENST00000085219
CD274	ENST00000381577	ENST00000381577	ENST00000381577	ENST00000381577
CD276	ENST00000318443	ENST00000318443	ENST00000318443	ENST00000318443
CD28	ENST00000324106	ENST00000324106		ENST00000324106
CD58	ENST00000369489	ENST00000369489		ENST00000369489
CD70	ENST00000245903	ENST00000245903		ENST00000245903
CD74	ENST00000009530	ENST00000009530		
CD79A	ENST00000221972	ENST00000221972	ENST00000221972	ENST00000221972
CD79B	ENST00000006750	ENST00000392795	ENST00000392795	ENST00000006750
CDC42	ENST00000656825	ENST00000344548	ENST00000656825	ENST00000656825
CDC73	ENST00000367435	ENST00000367435	ENST00000367435	ENST00000367435
CDH1	ENST00000261769	ENST00000261769	ENST00000261769	ENST00000261769
CDH11	ENST00000268603	ENST00000268603		ENST00000268603
CDH2	ENST00000269141	ENST00000269141		ENST00000269141
CDH4	ENST00000614565	ENST00000614565		ENST00000614565
CDK12	ENST00000447079	ENST00000447079	ENST00000447079	ENST00000447079
CDK4	ENST00000257904	ENST00000257904	ENST00000257904	ENST00000257904
CDK6	ENST00000424848	ENST00000265734	ENST00000424848	ENST00000424848
CDK8	ENST00000381527	ENST00000381527	ENST00000381527	ENST00000381527
CDKN1A	ENST00000244741	ENST00000244741	ENST00000448526	ENST00000244741
CDKN1B	ENST00000228872	ENST00000228872	ENST00000228872	ENST00000228872
CDKN1C	ENST00000440480			ENST00000440480
CDKN2A	ENST00000304494	ENST00000304494	ENST00000304494,ENST00000579755	ENST00000304494
CDKN2B	ENST00000276925	ENST00000276925	ENST00000276925	ENST00000276925
CDKN2C	ENST00000371761	ENST00000262662	ENST00000371761	ENST00000371761
CEBPA	ENST00000498907	ENST00000498907	ENST00000498907	ENST00000498907
CENPA	ENST00000335756	ENST00000335756	ENST00000335756	ENST00000335756
CHD2	ENST00000394196	ENST00000394196		ENST00000394196
CHD4	ENST00000544040	ENST00000544040		ENST00000544040
CHEK1	ENST00000438015	ENST00000428830	ENST00000534070	
CHEK2	ENST00000404276	ENST00000404276	ENST00000404276	ENST00000404276
CHTF8	ENST00000448552	ENST00000398235		ENST00000448552
CIC	ENST00000681038	ENST00000575354	ENST00000575354	
CIITA	ENST00000324288	ENST00000324288		ENST00000324288
CLTCL1	ENST00000427926	ENST00000427926		ENST00000427926
CMTR2	ENST00000434935	ENST00000338099	ENST00000434935	ENST00000434935
CNTRL	ENST00000373855	ENST00000373855		ENST00000373855
COL1A1	ENST00000225964	ENST00000225964		ENST00000225964
COL2A1	ENST00000380518	ENST00000380518		ENST00000380518
COP1	ENST00000367669	ENST00000367669	ENST00000367669	ENST00000367669
CRBN	ENST00000231948	ENST00000231948		ENST00000231948
CREB1	ENST00000353267	ENST00000432329		ENST00000353267
CREB3L2	ENST00000330387	ENST00000330387		ENST00000330387
CREBBP	ENST00000262367	ENST00000262367	ENST00000262367	ENST00000262367
CREM	ENST00000685392			
CRKL	ENST00000354336	ENST00000354336	ENST00000354336	ENST00000354336
CRLF2	ENST00000400841	ENST00000381566	ENST00000400841	ENST00000400841
CRTC1	ENST00000321949	ENST00000321949		ENST00000321949
CSDE1	ENST00000358528	ENST00000438362	ENST00000610726	ENST00000358528
CSF1R	ENST00000675795	ENST00000286301	ENST00000286301	ENST00000675795
CSF3R	ENST00000373106	ENST00000361632	ENST00000373106	ENST00000373106
CTC1	ENST00000651323	ENST00000651323		ENST00000651323
CTCF	ENST00000264010	ENST00000264010	ENST00000264010	ENST00000264010
CTDNEP1	ENST00000574322			ENST00000574322
CTLA4	ENST00000648405	ENST00000648405	ENST00000648405	ENST00000648405
CTNNA1	ENST00000302763	ENST00000302763		ENST00000302763
CTNNB1	ENST00000349496	ENST00000349496	ENST00000349496	ENST00000349496
CTR9	ENST00000361367	ENST00000361367	ENST00000361367	ENST00000361367
CUL3	ENST00000264414	ENST00000264414	ENST00000264414	ENST00000264414
CUL4A	ENST00000375440	ENST00000375440		ENST00000375440
CUX1	ENST00000292535	ENST00000292535		ENST00000292535
CXCR4	ENST00000241393	ENST00000241393	ENST00000241393	ENST00000241393
CYLD	ENST00000427738	ENST00000398568	ENST00000569418	ENST00000427738
CYP19A1	ENST00000396402	ENST00000396402	ENST00000396402	ENST00000396402
CYSLTR2	ENST00000682523	ENST00000282018	ENST00000614739	
DAXX	ENST00000374542	ENST00000266000	ENST00000374542	ENST00000374542
DAZAP1	ENST00000233078	ENST00000233078		ENST00000233078
DCUN1D1	ENST00000292782	ENST00000292782	ENST00000292782	ENST00000292782
DDB2	ENST00000256996	ENST00000256996		ENST00000256996
DDIT3	ENST00000346473	ENST00000346473		
DDR2	ENST00000367921	ENST00000367921	ENST00000367921	ENST00000367921
DDX3X	ENST00000644876	ENST00000478993		ENST00000644876
DDX4	ENST00000505374	ENST00000505374		ENST00000505374
DDX41	ENST00000330503	ENST00000330503		ENST00000330503
DDX5	ENST00000225792	ENST00000225792		ENST00000225792
DEK	ENST00000652689	ENST00000652689		ENST00000652689
DHX15	ENST00000336812			ENST00000336812
DICER1	ENST00000343455	ENST00000393063	ENST00000343455	ENST00000343455
DIS3	ENST00000377767	ENST00000377767	ENST00000377767	ENST00000377767
DIS3L2	ENST00000325385			ENST00000325385
DKK1	ENST00000373970	ENST00000373970		ENST00000373970
DKK2	ENST00000285311	ENST00000285311		ENST00000285311
DKK3	ENST00000683431	ENST00000326932		
DKK4	ENST00000220812	ENST00000220812		ENST00000220812
DNAJB1	ENST00000254322	ENST00000254322	ENST00000254322	ENST00000254322
DNM2	ENST00000389253	ENST00000355667		ENST00000389253
DNMT1	ENST00000359526	ENST00000340748	ENST00000340748	ENST00000359526
DNMT3A	ENST00000321117	ENST00000264709	ENST00000321117	ENST00000321117
DNMT3B	ENST00000328111	ENST00000328111	ENST00000328111	ENST00000328111
DOT1L	ENST00000398665	ENST00000398665	ENST00000398665	ENST00000398665
DPYD	ENST00000370192	ENST00000370192		ENST00000370192
DROSHA	ENST00000344624	ENST00000344624	ENST00000511367	ENST00000344624
DTX1	ENST00000548759	ENST00000257600		
DUSP22	ENST00000419235	ENST00000344450		
DUSP4	ENST00000240100	ENST00000240100	ENST00000240100	ENST00000240100
E2F3	ENST00000346618	ENST00000346618	ENST00000346618	ENST00000346618
EBF1	ENST00000313708	ENST00000313708		ENST00000313708
ECSIT	ENST00000270517	ENST00000270517		ENST00000270517
ECT2L	ENST00000541398	ENST00000367682		ENST00000541398
EED	ENST00000263360	ENST00000263360	ENST00000263360	ENST00000263360
EGFL7	ENST00000308874	ENST00000308874	ENST00000371698	ENST00000308874
EGFR	ENST00000275493	ENST00000275493	ENST00000275493	ENST00000275493
EGR1	ENST00000239938	ENST00000239938		ENST00000239938
EGR2	ENST00000242480			ENST00000242480
EIF1AX	ENST00000379607	ENST00000379607	ENST00000379607	ENST00000379607
EIF2B1	ENST00000424014	ENST00000424014		ENST00000424014
EIF3E	ENST00000220849	ENST00000220849		ENST00000220849
EIF4A2	ENST00000323963	ENST00000323963	ENST00000323963	ENST00000323963
EIF4E	ENST00000450253	ENST00000280892	ENST00000280892	ENST00000450253
ELF3	ENST00000367284	ENST00000359651	ENST00000367284	ENST00000367284
ELF4	ENST00000308167	ENST00000308167		ENST00000308167
ELK4	ENST00000357992	ENST00000357992		ENST00000357992
ELL	ENST00000262809	ENST00000262809		ENST00000262809
ELL2	ENST00000237853			ENST00000237853
ELN	ENST00000252034	ENST00000252034		ENST00000252034
ELOC	ENST00000520242	ENST00000284811	ENST00000520242	ENST00000520242
EML4	ENST00000318522	ENST00000318522		ENST00000318522
EMSY	ENST00000695367	ENST00000334736		
EP300	ENST00000263253	ENST00000263253	ENST00000263253	ENST00000263253
EP400	ENST00000389561	ENST00000389561		ENST00000389561
EPAS1	ENST00000263734	ENST00000263734	ENST00000263734	ENST00000263734
EPCAM	ENST00000263735	ENST00000263735	ENST00000263735	ENST00000263735
EPHA3	ENST00000336596	ENST00000336596	ENST00000336596	ENST00000336596
EPHA5	ENST00000613740	ENST00000273854	ENST00000273854	ENST00000613740
EPHA7	ENST00000369303	ENST00000369303	ENST00000369303	ENST00000369303
EPHB1	ENST00000398015	ENST00000398015	ENST00000398015	ENST00000398015
EPHB4	ENST00000358173	ENST00000358173		ENST00000358173
EPOR	ENST00000222139	ENST00000222139		ENST00000222139
ERBB2	ENST00000269571	ENST00000269571	ENST00000269571	ENST00000269571
ERBB3	ENST00000267101	ENST00000267101	ENST00000267101	ENST00000267101
ERBB4	ENST00000342788	ENST00000342788	ENST00000342788	ENST00000342788
ERC1	ENST00000360905	ENST00000360905		ENST00000360905
ERCC1	ENST00000300853	ENST00000300853		ENST00000300853
ERCC2	ENST00000391945	ENST00000391945	ENST00000391945	ENST00000391945
ERCC3	ENST00000285398	ENST00000285398	ENST00000285398	ENST00000285398
ERCC4	ENST00000311895	ENST00000311895	ENST00000311895	ENST00000311895
ERCC5	ENST00000652225	ENST00000652225	ENST00000652225	ENST00000652225
ERCC6	ENST00000355832			ENST00000355832
ERF	ENST00000222329	ENST00000222329	ENST00000222329	ENST00000222329
ERG	ENST00000288319	ENST00000288319	ENST00000288319	ENST00000288319
ERRFI1	ENST00000377482	ENST00000377482	ENST00000377482	ENST00000377482
ESCO2	ENST00000305188	ENST00000305188		ENST00000305188
ESR1	ENST00000206249	ENST00000206249	ENST00000443427	ENST00000206249
ETAA1	ENST00000272342	ENST00000272342	ENST00000272342	ENST00000272342
ETNK1	ENST00000266517	ENST00000671733		ENST00000266517
ETS1	ENST00000392668	ENST00000319397		ENST00000392668
ETV1	ENST00000430479	ENST00000405192	ENST00000405192	ENST00000430479
ETV4	ENST00000319349	ENST00000319349		ENST00000319349
ETV5	ENST00000306376	ENST00000306376		ENST00000306376
ETV6	ENST00000396373	ENST00000396373	ENST00000396373	ENST00000396373
EWSR1	ENST00000397938	ENST00000397938		ENST00000397938
EXT1	ENST00000378204	ENST00000378204		ENST00000378204
EZH1	ENST00000428826	ENST00000428826	ENST00000428826	ENST00000428826
EZH2	ENST00000320356	ENST00000320356	ENST00000320356	ENST00000320356
EZHIP	ENST00000342995	ENST00000342995		ENST00000342995
FANCA	ENST00000389301	ENST00000389301	ENST00000389301	ENST00000389301
FANCB	ENST00000650831			ENST00000650831
FANCC	ENST00000289081	ENST00000289081	ENST00000289081	ENST00000289081
FANCD2	ENST00000675286	ENST00000675286		ENST00000675286
FANCE	ENST00000229769	ENST00000229769		ENST00000229769
FANCF	ENST00000327470	ENST00000327470		ENST00000327470
FANCG	ENST00000378643	ENST00000378643		ENST00000378643
FANCI	ENST00000310775			ENST00000310775
FANCL	ENST00000233741	ENST00000233741		ENST00000233741
FANCM	ENST00000267430	ENST00000267430		ENST00000267430
FAS	ENST00000652046	ENST00000652046		ENST00000652046
FAT1	ENST00000441802	ENST00000441802	ENST00000441802	ENST00000441802
FBXO11	ENST00000403359	ENST00000403359		ENST00000403359
FBXW2	ENST00000608872	ENST00000608872		ENST00000608872
FBXW7	ENST00000281708	ENST00000281708	ENST00000603548	ENST00000281708
FES	ENST00000328850	ENST00000328850		ENST00000328850
FEV	ENST00000295727	ENST00000295727		ENST00000295727
FGF1	ENST00000337706	ENST00000337706		ENST00000337706
FGF10	ENST00000264664	ENST00000264664		ENST00000264664
FGF14	ENST00000376143	ENST00000376143		ENST00000376143
FGF19	ENST00000294312	ENST00000294312	ENST00000294312	ENST00000294312
FGF2	ENST00000644866	ENST00000644866		ENST00000644866
FGF23	ENST00000237837	ENST00000237837		ENST00000237837
FGF3	ENST00000334134	ENST00000334134	ENST00000334134	ENST00000334134
FGF4	ENST00000168712	ENST00000168712	ENST00000168712	ENST00000168712
FGF5	ENST00000312465	ENST00000312465		
FGF6	ENST00000228837	ENST00000228837		
FGF7	ENST00000267843	ENST00000267843		ENST00000267843
FGF8	ENST00000320185	ENST00000344255		ENST00000344255
FGF9	ENST00000382353	ENST00000382353		ENST00000382353
FGFR1	ENST00000447712	ENST00000425967	ENST00000425967	ENST00000447712
FGFR2	ENST00000358487	ENST00000358487	ENST00000358487	ENST00000358487
FGFR3	ENST00000440486	ENST00000440486	ENST00000440486	ENST00000440486
FGFR4	ENST00000292408	ENST00000292408	ENST00000292408	ENST00000292408
FH	ENST00000366560	ENST00000366560	ENST00000366560	ENST00000366560
