Hugo Symbol	ensembl	oncokb	mskcc	mane
FURIN	ENST00000268171	ENST00000268171		ENST00000268171
FUS	ENST00000254108	ENST00000254108		ENST00000254108
FZR1	ENST00000441788	ENST00000395095		ENST00000441788
GABRA6	ENST00000274545	ENST00000274545		ENST00000274545
GATA4	ENST00000532059	ENST00000335135		ENST00000532059
GATA6	ENST00000269216	ENST00000269216		ENST00000269216
GNA12	ENST00000275364	ENST00000275364		ENST00000275364
GNA13	ENST00000439174	ENST00000439174		ENST00000439174
GPC3	ENST00000370818	ENST00000370818		ENST00000370818
GRB7	ENST00000309156	ENST00000309156		ENST00000309156
GRM3	ENST00000361669	ENST00000361669		
GSTP1	ENST00000398606	ENST00000398606		ENST00000398606
GTF2I	ENST00000573035	ENST00000573035		ENST00000573035
H1-3	ENST00000244534	ENST00000244534		ENST00000244534
H1-4	ENST00000304218	ENST00000304218		ENST00000304218
H1-5	ENST00000331442	ENST00000331442		ENST00000331442
H2AC11	ENST00000359193	ENST00000359193		
H2AC16	ENST00000613174	ENST00000613174		ENST00000613174
H2AC17	ENST00000359611	ENST00000359611		ENST00000359611
H2AC6	ENST00000377791	ENST00000314088		ENST00000377791
H2BC11	ENST00000339812	ENST00000339812		ENST00000339812
H2BC12	ENST00000356950	ENST00000356950		ENST00000356950
H2BC17	ENST00000616182	ENST00000616182		ENST00000616182
H2BC4	ENST00000396984	ENST00000314332		
H2BC8	ENST00000541790	ENST00000541790		
H3C15	ENST00000403683	ENST00000403683		
H3P6	ENST00000369387	ENST00000369387		
H4C6	ENST00000244537	ENST00000244537		ENST00000244537
HDAC1	ENST00000373548	ENST00000373548		ENST00000373548
HDAC2	ENST00000519065	ENST00000519065		ENST00000519065
HDAC4	ENST00000543185	ENST00000345617		ENST00000543185
HDAC7	ENST00000080059	ENST00000427332		ENST00000080059
HFE	ENST00000357618	ENST00000357618		ENST00000357618
HIF1A	ENST00000337138	ENST00000337138		ENST00000337138
HIRA	ENST00000263208	ENST00000263208		ENST00000263208
HMGA1	ENST00000311487	ENST00000311487		ENST00000311487
HMGA2	ENST00000403681	ENST00000403681		ENST00000403681
HNF1B	ENST00000617811	ENST00000617811		ENST00000617811
HOXA11	ENST00000006015	ENST00000006015		ENST00000006015
HSD17B2	ENST00000199936	ENST00000199936		ENST00000199936
HSD3B1	ENST00000369413	ENST00000369413		ENST00000369413
HSP90AA1	ENST00000216281	ENST00000216281		ENST00000216281
HTATIP2	ENST00000451739	ENST00000421577		ENST00000451739
ID1	ENST00000376112	ENST00000376112		ENST00000376112
IFNAR1	ENST00000270139	ENST00000270139		ENST00000270139
IKZF3	ENST00000346872	ENST00000346872		ENST00000346872
IL3	ENST00000296870	ENST00000296870		ENST00000296870
IL6ST	ENST00000381298	ENST00000336909		ENST00000381298
ING1	ENST00000333219	ENST00000375774		ENST00000333219
INSRR	ENST00000368195		ENST00000368195	ENST00000368195
INTS6	ENST00000311234	ENST00000311234		ENST00000311234
IQGAP1	ENST00000268182	ENST00000268182		ENST00000268182
IRF1	ENST00000245414	ENST00000245414		ENST00000245414
IRF2	ENST00000393593	ENST00000393593		ENST00000393593
IRF8	ENST00000268638	ENST00000268638		ENST00000268638
ITPKB	ENST00000429204	ENST00000272117		
JARID2	ENST00000341776	ENST00000341776		ENST00000341776
JAZF1	ENST00000283928	ENST00000283928		ENST00000283928
KAT6A	ENST00000265713	ENST00000265713		ENST00000265713
KAT7	ENST00000259021	ENST00000259021		ENST00000259021
KDM5D	ENST00000317961	ENST00000317961		ENST00000317961
KEL	ENST00000355265	ENST00000355265		ENST00000355265
KLF2	ENST00000248071	ENST00000248071		ENST00000248071
KLF3	ENST00000261438	ENST00000261438		ENST00000261438
KLHL6	ENST00000341319	ENST00000341319		ENST00000341319
KSR2	ENST00000339824	ENST00000339824		ENST00000339824
LARP4B	ENST00000316157	ENST00000316157		ENST00000316157
LCK	ENST00000336890	ENST00000336890		ENST00000336890
LEF1	ENST00000265165	ENST00000265165		ENST00000265165
LGR5	ENST00000266674	ENST00000266674		ENST00000266674
LMNA	ENST00000368300	ENST00000368300		ENST00000368300
LMO2	ENST00000257818	ENST00000395833		ENST00000257818
LRP1B	ENST00000389484	ENST00000389484		ENST00000389484
LRP5	ENST00000294304	ENST00000294304		ENST00000294304
LRP6	ENST00000261349	ENST00000261349		ENST00000261349
LTB	ENST00000429299	ENST00000376117		ENST00000429299
LTK	ENST00000263800	ENST00000263800		ENST00000263800
MAF	ENST00000326043	ENST00000393350		ENST00000326043
MAFB	ENST00000373313	ENST00000373313		ENST00000373313
MAL2	ENST00000614891	ENST00000614891		ENST00000614891
MAML2	ENST00000524717	ENST00000524717		ENST00000524717
MAP3K21	ENST00000366624	ENST00000366624		ENST00000366624
MAP3K7	ENST00000369329	ENST00000369329		ENST00000369329
MAP4K4	ENST00000324219	ENST00000347699		
MBD4	ENST00000429544	ENST00000249910		ENST00000429544
MBD6	ENST00000355673	ENST00000355673		ENST00000355673
MECOM	ENST00000651503	ENST00000468789		ENST00000651503
MEF2C	ENST00000504921	ENST00000437473		ENST00000504921
MEF2D	ENST00000348159	ENST00000348159		ENST00000348159
MERTK	ENST00000295408	ENST00000295408		ENST00000295408
MGAM	ENST00000475668	ENST00000549489		ENST00000475668
MIDEAS	ENST00000423556	ENST00000286523		
MKI67	ENST00000368654	ENST00000368654		ENST00000368654
MLH3	ENST00000355774	ENST00000355774		ENST00000355774
MLLT10	ENST00000307729	ENST00000307729		ENST00000307729
MLLT3	ENST00000380338	ENST00000380338		ENST00000380338
MN1	ENST00000302326	ENST00000302326		ENST00000302326
MOB3B	ENST00000262244	ENST00000262244		ENST00000262244
MPEG1	ENST00000361050	ENST00000361050		ENST00000361050
MS4A1	ENST00000345732	ENST00000345732		ENST00000345732
MTHFD2	ENST00000394053	ENST00000394053		ENST00000394053
MYB	ENST00000341911	ENST00000367814		ENST00000341911
MYBL1	ENST00000522677	ENST00000522677		
MYH11	ENST00000300036	ENST00000300036		ENST00000300036
MYO5A	ENST00000399233	ENST00000399231		ENST00000399233
NAB2	ENST00000300131	ENST00000300131		ENST00000300131
NCOA4	ENST00000581486	ENST00000581486		ENST00000581486
NCOR2	ENST00000405201	ENST00000405201		
NCSTN	ENST00000294785	ENST00000294785		ENST00000294785
NFATC2	ENST00000371564	ENST00000396009		ENST00000371564
NFE2	ENST00000435572	ENST00000312156		ENST00000435572
NHERF1	ENST00000262613	ENST00000262613		
NQO1	ENST00000320623	ENST00000320623		ENST00000320623
NR4A3	ENST00000395097	ENST00000395097		ENST00000395097
NRG1	ENST00000405005	ENST00000405005		
NT5C2	ENST00000404739	ENST00000343289		ENST00000404739
NUP214	ENST00000359428	ENST00000359428		ENST00000359428
NUP98	ENST00000324932	ENST00000355260		ENST00000324932
NUTM1	ENST00000537011	ENST00000333756		ENST00000537011
ONECUT2	ENST00000491143	ENST00000491143		ENST00000491143
P2RY8	ENST00000381297	ENST00000381297		ENST00000381297
PAX3	ENST00000392070	ENST00000350526		ENST00000392070
PAX7	ENST00000420770	ENST00000420770		ENST00000420770
PAX8	ENST00000429538	ENST00000348715		ENST00000429538
PCBP1	ENST00000303577	ENST00000303577		ENST00000303577
PDGFB	ENST00000331163	ENST00000331163		ENST00000331163
PDK1	ENST00000282077	ENST00000282077		ENST00000282077
PDS5B	ENST00000315596	ENST00000315596		ENST00000315596
PGBD5	ENST00000391860	ENST00000525115		ENST00000391860
PHF19	ENST00000373896	ENST00000373896		ENST00000373896
PHLPP1	ENST00000262719	ENST00000262719		ENST00000262719
PHLPP2	ENST00000568954	ENST00000568954		ENST00000568954
PIGA	ENST00000333590	ENST00000333590		ENST00000333590
PIK3C2B	ENST00000684373	ENST00000367187		
PLCG1	ENST00000685551	ENST00000373271		
PML	ENST00000268058	ENST00000268058		ENST00000268058
POLG	ENST00000268124	ENST00000268124		ENST00000268124
POU2F2	ENST00000692977	ENST00000526816		
POU3F2	ENST00000328345	ENST00000328345		ENST00000328345
POU3F4	ENST00000644024	ENST00000644024		ENST00000644024
PPP2R2A	ENST00000380737	ENST00000380737		ENST00000380737
PRCC	ENST00000271526	ENST00000271526		ENST00000271526
PRKACA	ENST00000308677	ENST00000308677		ENST00000308677
PRKDC	ENST00000314191	ENST00000314191		ENST00000314191
PRPF8	ENST00000304992	ENST00000304992		ENST00000304992
PRSS1	ENST00000311737	ENST00000311737		ENST00000311737
PSMB2	ENST00000373237	ENST00000373237		ENST00000373237
PTDSS1	ENST00000517309		ENST00000517309	ENST00000517309
PTPN1	ENST00000371621	ENST00000371621		ENST00000371621
PTPN13	ENST00000411767	ENST00000411767		ENST00000411767
PTPN14	ENST00000366956	ENST00000366956		ENST00000366956
PTPN2	ENST00000309660	ENST00000309660		ENST00000309660
PUM1	ENST00000426105	ENST00000257075		ENST00000426105
QKI	ENST00000361752	ENST00000361752		ENST00000361752
RAD17	ENST00000354868	ENST00000380774		ENST00000354868
RANBP2	ENST00000283195	ENST00000283195		ENST00000283195
RBM15	ENST00000369784	ENST00000369784		ENST00000369784
RELN	ENST00000428762	ENST00000428762		ENST00000428762
REV3L	ENST00000368802	ENST00000358835		ENST00000368802
RNASEH2A	ENST00000221486	ENST00000221486		ENST00000221486
RNASEH2B	ENST00000336617	ENST00000336617		ENST00000336617
RNF34	ENST00000361234		ENST00000361234	
ROBO1	ENST00000464233	ENST00000464233		ENST00000464233
RPL5	ENST00000370321	ENST00000370321		ENST00000370321
RPS15	ENST00000592588	ENST00000593052		ENST00000592588
RUNX1T1	ENST00000523629	ENST00000265814		
SAMHD1	ENST00000646673	ENST00000646673		ENST00000646673
SDCCAG8	ENST00000366541		ENST00000366541	ENST00000366541
SERPINB4	ENST00000341074	ENST00000341074		ENST00000341074
SET	ENST00000322030	ENST00000372692		ENST00000322030
SETBP1	ENST00000649279	ENST00000649279		ENST00000649279
SETD1A	ENST00000262519	ENST00000262519		ENST00000262519
SETD1B	ENST00000604567	ENST00000604567		ENST00000604567
SETD3	ENST00000331768	ENST00000331768		ENST00000331768
SETD4	ENST00000332131	ENST00000332131		ENST00000332131
SETD5	ENST00000402198	ENST00000402198		ENST00000402198
SETD6	ENST00000219315	ENST00000219315		ENST00000219315
SETD7	ENST00000274031	ENST00000274031		ENST00000274031
SETDB2	ENST00000611815	ENST00000317257		
SF3B2	ENST00000322535	ENST00000322535		ENST00000322535
SFRP1	ENST00000220772	ENST00000220772		ENST00000220772
SFRP2	ENST00000274063	ENST00000274063		ENST00000274063
SGK1	ENST00000367858	ENST00000237305		
SLIT2	ENST00000504154	ENST00000504154		ENST00000504154
SLIT3	ENST00000519560	ENST00000519560		ENST00000519560
SMARCA1	ENST00000371121	ENST00000371122		ENST00000371121
SMC1A	ENST00000322213	ENST00000322213		ENST00000322213
SMC3	ENST00000361804	ENST00000361804		ENST00000361804
SMG1	ENST00000446231	ENST00000446231		ENST00000446231
SOCS3	ENST00000330871	ENST00000330871		ENST00000330871
SOX10	ENST00000396884	ENST00000360880		ENST00000396884
SP140	ENST00000392045	ENST00000392045		ENST00000392045
SPRTN	ENST00000295050	ENST00000295050		ENST00000295050
SQSTM1	ENST00000389805	ENST00000389805		ENST00000389805
SRP72	ENST00000642900	ENST00000642900		ENST00000642900
SS18	ENST00000415083	ENST00000415083		ENST00000415083
SSX1	ENST00000376919	ENST00000376919		ENST00000376919
SSX2	ENST00000337502	ENST00000337502		
STAG1	ENST00000383202	ENST00000383202		ENST00000383202
STAT1	ENST00000361099	ENST00000361099		ENST00000361099
STAT2	ENST00000314128	ENST00000314128		ENST00000314128
STAT4	ENST00000392320	ENST00000358470		ENST00000392320
STAT6	ENST00000300134	ENST00000300134		ENST00000300134
SZT2	ENST00000634258	ENST00000562955		ENST00000634258
TAF1	ENST00000423759	ENST00000423759		ENST00000423759
TAL1	ENST00000691006	ENST00000294339		
TBL1XR1	ENST00000457928	ENST00000430069		ENST00000457928
TCL1A	ENST00000402399	ENST00000402399		ENST00000402399
TCL1B	ENST00000340722	ENST00000340722		ENST00000340722
TET3	ENST00000409262	ENST00000409262		ENST00000409262
TFE3	ENST00000315869	ENST00000315869		ENST00000315869
TIGAR	ENST00000179259	ENST00000179259		ENST00000179259
TLE1	ENST00000376499	ENST00000376499		ENST00000376499
TLE2	ENST00000262953	ENST00000262953		ENST00000262953
TLE3	ENST00000451782	ENST00000558939		ENST00000451782
TLE4	ENST00000376552	ENST00000376552		ENST00000376552
TLX1	ENST00000370196	ENST00000370196		ENST00000370196
TLX3	ENST00000296921	ENST00000296921		ENST00000296921
TNFRSF17	ENST00000053243	ENST00000053243		ENST00000053243
TNFSF13	ENST00000338784	ENST00000338784		
TOE1	ENST00000372090		ENST00000372090	ENST00000372090
TONSL	ENST00000409379	ENST00000409379		ENST00000409379
TOP2A	ENST00000423485	ENST00000423485		ENST00000423485
TPM3	ENST00000651641	ENST00000368530		ENST00000651641
TPMT	ENST00000309983	ENST00000309983		ENST00000309983
TRAF3	ENST00000392745	ENST00000392745		ENST00000392745
TRAF5	ENST00000261464	ENST00000261464		ENST00000261464
TRIB3	ENST00000217233	ENST00000217233		
TRIM27	ENST00000377199	ENST00000377199		ENST00000377199
TYK2	ENST00000525621	ENST00000264818		ENST00000525621
TYMS	ENST00000323274	ENST00000323274		ENST00000323274
U2AF2	ENST00000308924	ENST00000308924		ENST00000308924
UBE2A	ENST00000371558	ENST00000371558		ENST00000371558
UBR5	ENST00000520539	ENST00000520539		ENST00000520539
UCHL1	ENST00000284440	ENST00000284440		ENST00000284440
USP6	ENST00000574788	ENST00000250066		ENST00000574788
VAV1	ENST00000602142	ENST00000602142		ENST00000602142
VAV2	ENST00000371850	ENST00000371850		ENST00000371850
WDR74	ENST00000278856		ENST00000529106	ENST00000278856
WIF1	ENST00000286574	ENST00000286574		ENST00000286574
WRN	ENST00000298139	ENST00000298139		ENST00000298139
WWP1	ENST00000517970	ENST00000265428		ENST00000517970
XBP1	ENST00000344347	ENST00000216037		
XPA	ENST00000375128	ENST00000375128		ENST00000375128
XPC	ENST00000285021	ENST00000285021		ENST00000285021
XRCC1	ENST00000262887	ENST00000262887		ENST00000262887
YY1	ENST00000262238	ENST00000262238		ENST00000262238
ZBTB20	ENST00000675478	ENST00000474710		ENST00000675478
ZBTB7A	ENST00000322357	ENST00000322357		ENST00000322357
ZFP36L1	ENST00000439696	ENST00000336440		ENST00000439696
ZFP36L2	ENST00000282388	ENST00000282388		ENST00000282388
ZMYM3	ENST00000314425	ENST00000314425		ENST00000314425
ZNF217	ENST00000371471	ENST00000302342		ENST00000371471
ZNF750	ENST00000269394	ENST00000269394		ENST00000269394
