Hugo Symbol	ensembl	oncokb	mskcc	MSK-Impact	MSK-Impact_enst_id	ensembl_protein_length	oncokb_protein_length	mskcc_protein_length	MSK-Impact_enst_id_protein_length	longest_protein	identical_protein_sequence
FGFR3	ENST00000340107	ENST00000260795	ENST00000440486	NM_000142.4	ENST00000440486	808.0	806.0	806.0	806.0	equal	True
FOXP1	ENST00000491238	ENST00000318789	ENST00000498215	NM_001244814.1	ENST00000498215	679.0	677.0	677.0	677.0	equal	True
FYN	ENST00000354650	ENST00000368678	ENST00000538466	NM_153047.3	ENST00000538466	537.0	534.0	534.0	534.0	equal	True
GPS2	ENST00000380728	ENST00000380728	ENST00000389167	NM_004489.4	ENST00000389167	327.0	327.0	327.0	327.0	equal	True
H2BC5	ENST00000289316	ENST00000289316	ENST00000377777	NM_021063.3	ENST00000377777	126.0	126.0	126.0	126.0	equal	True
H3-3A	ENST00000366813	ENST00000366813	ENST00000366815	NM_002107.4	ENST00000366815	136.0	136.0	136.0	136.0	equal	True
H3C4	ENST00000377831	ENST00000356476	ENST00000377831	NM_003530.4	ENST00000377831	136.0	136.0	136.0	136.0	equal	True
KMT2B	ENST00000222270	ENST00000222270	ENST00000607650	NM_014727.1	ENST00000222270	2715.0	2715.0		2715.0	oncokb,MSK-Impact	True
LATS1	ENST00000543571	ENST00000253339	ENST00000543571	NM_004690.3	ENST00000543571	1130.0	1130.0	1130.0	1130.0	equal	True
MAD2L2	ENST00000235310	ENST00000235310	ENST00000376667	NM_001127325.1	ENST00000376667	211.0	211.0	211.0	211.0	equal	True
MEF2B	ENST00000162023	ENST00000162023	ENST00000424583	NM_001145785.1	ENST00000424583	368.0	368.0	368.0	368.0	equal	True
NTRK2	ENST00000376214	ENST00000277120	ENST00000376214	NM_006180.3	ENST00000376214	838.0	838.0	838.0	838.0	equal	True
NUF2	ENST00000271452	ENST00000271452	ENST00000367900	NM_031423.3	ENST00000367900	464.0	464.0	464.0	464.0	equal	True
PIK3C2G	ENST00000433979	ENST00000266497	ENST00000433979	NM_004570.4	ENST00000433979	1445.0	1445.0	1445.0	1445.0	equal	True
PIK3R1	ENST00000521381	ENST00000274335	ENST00000521381	NM_181523.2	ENST00000521381	724.0	724.0	724.0	724.0	equal	True
PTPRD	ENST00000381196	ENST00000356435	ENST00000381196	NM_002839.3	ENST00000381196	1912.0	1912.0	1912.0	1912.0	equal	True
RAD54L	ENST00000371975	ENST00000371975	ENST00000442598	NM_001142548.1	ENST00000442598	747.0	747.0	747.0	747.0	equal	True
RECQL	ENST00000444129	ENST00000421138	ENST00000444129	NM_002907.3	ENST00000444129	649.0	649.0	649.0	649.0	equal	True
RNF43	ENST00000584437	ENST00000407977	ENST00000577716	NM_017763.4	ENST00000577716	783.0	783.0	783.0	783.0	equal	True
RUNX1	ENST00000300305	ENST00000300305	ENST00000437180	NM_001754.4	ENST00000437180	480.0	480.0	480.0	480.0	equal	True
SLFN11	ENST00000394566	ENST00000308377	ENST00000394566	NM_001104589.1	ENST00000394566	901.0	901.0	901.0	901.0	equal	True
SMAD2	ENST00000402690	ENST00000262160	ENST00000402690	NM_001003652.3	ENST00000402690	467.0	467.0	467.0	467.0	equal	True
SPOP	ENST00000393331	ENST00000347630	ENST00000504102	NM_001007228.1	ENST00000504102	374.0	374.0	374.0	374.0	equal	True
SRC	ENST00000373578	ENST00000358208	ENST00000373578	NM_198291.2	ENST00000373578	536.0	536.0	536.0	536.0	equal	True
SRSF2	ENST00000392485	ENST00000359995	ENST00000392485	NM_003016.4	ENST00000392485	221.0	221.0	221.0	221.0	equal	True
SYK	ENST00000375754	ENST00000375746	ENST00000375754	NM_003177.5	ENST00000375754	635.0	635.0	635.0	635.0	equal	True
USP8	ENST00000433963	ENST00000307179	ENST00000396444	NM_005154.3	ENST00000396444	1118.0	1118.0	1118.0	1118.0	equal	True
WWTR1	ENST00000465804	ENST00000360632	ENST00000467467	NM_001168280.1	ENST00000467467	400.0	400.0	400.0	400.0	equal	True
XIAP	ENST00000371199	ENST00000355640	ENST00000371199	NM_001167.3	ENST00000371199	497.0	497.0	497.0	497.0	equal	True
AGO1	ENST00000373204	ENST00000373204	ENST00000373204			857.0	857.0	857.0		oncokb,mskcc	True
CDKN2A	ENST00000498124	ENST00000304494	ENST00000304494,ENST00000361570			167.0	156.0			oncokb	True
CMTR2	ENST00000338099	ENST00000338099	ENST00000434935			770.0	770.0	770.0		oncokb,mskcc	True
MAP3K14	ENST00000344686	ENST00000344686	ENST00000376926	NM_003954.3						equal	True
NSD2	ENST00000382895	ENST00000382891	ENST00000508803			1365.0	1365.0	1365.0		oncokb,mskcc	True
PAK5	ENST00000378429	ENST00000353224	ENST00000353224			719.0	719.0	719.0		oncokb,mskcc	True
RTEL1	ENST00000508582	ENST00000360203	ENST00000360203	ENST00000360203		1243.0	1300.0	1300.0		oncokb,mskcc	True
SERPINB4	ENST00000341074	ENST00000341074		NM_002974.2	ENST00000341074	390.0	390.0		390.0	oncokb,MSK-Impact	True
SPRTN	ENST00000295050	ENST00000295050		NM_032018.5	ENST00000295050	489.0	489.0		489.0	oncokb,MSK-Impact	True
ABL2	ENST00000502732	ENST00000502732				1182.0	1182.0			oncokb	True
ACKR3	ENST00000272928	ENST00000272928				362.0	362.0			oncokb	True
ACTG1	ENST00000575842	ENST00000331925				375.0	375.0			oncokb	True
ACVR1B	ENST00000541224	ENST00000257963				546.0	505.0			oncokb	True
ACVR2A	ENST00000241416	ENST00000241416				513.0	513.0			oncokb	True
ADGRA2	ENST00000412232	ENST00000412232				1338.0	1338.0			oncokb	True
ADHFE1	ENST00000396623	ENST00000396623				467.0	467.0			oncokb	True
AFDN	ENST00000392108	ENST00000447894				1651.0	1824.0			oncokb	True
AFF4	ENST00000265343	ENST00000265343				1163.0	1163.0			oncokb	True
AJUBA	ENST00000262713	ENST00000262713				538.0	538.0			oncokb	True
ALDH1L2	ENST00000258494	ENST00000258494				923.0	923.0			oncokb	True
ALDH2	ENST00000261733	ENST00000261733				517.0	517.0			oncokb	True
ANKRD26	ENST00000376087	ENST00000376087				1710.0	1710.0			oncokb	True
ARHGAP26	ENST00000274498	ENST00000274498				814.0	814.0			oncokb	True
ARHGEF12	ENST00000397843	ENST00000397843				1544.0	1544.0			oncokb	True
ARHGEF28	ENST00000545377	ENST00000426542				1731.0	1705.0			oncokb	True
ARID3A	ENST00000263620	ENST00000263620				593.0	593.0			oncokb	True
ARID3B	ENST00000346246	ENST00000346246				560.0	560.0			oncokb	True
ARID3C	ENST00000378909	ENST00000378909				412.0	412.0			oncokb	True
ARID4A	ENST00000355431	ENST00000355431				1257.0	1257.0			oncokb	True
ARID4B	ENST00000264183	ENST00000264183				1312.0	1312.0			oncokb	True
ARID5A	ENST00000357485	ENST00000357485				594.0	594.0			oncokb	True
ATF1	ENST00000262053	ENST00000262053				271.0	271.0			oncokb	True
ATIC	ENST00000236959	ENST00000236959				592.0	592.0			oncokb	True
ATP1A1	ENST00000537345	ENST00000295598				1023.0	1023.0			oncokb	True
ATP6AP1	ENST00000369762	ENST00000369762				470.0	470.0			oncokb	True
ATP6V1B2	ENST00000276390	ENST00000276390				511.0	511.0			oncokb	True
ATRIP	ENST00000320211	ENST00000320211				791.0	791.0			oncokb	True
ATXN2	ENST00000377617	ENST00000377617				1313.0	1313.0			oncokb	True
BAALC	ENST00000309982	ENST00000297574				145.0	180.0			oncokb	True
BACH2	ENST00000257749	ENST00000257749				841.0	841.0			oncokb	True
BCL11B	ENST00000357195	ENST00000357195				894.0	894.0			oncokb	True
BCL2L2	ENST00000250405	ENST00000250405				193.0	193.0			oncokb	True
BCL3	ENST00000164227	ENST00000164227				454.0	454.0			oncokb	True
BCL7A	ENST00000538010	ENST00000261822				231.0	210.0			oncokb	True
BCL9	ENST00000234739	ENST00000234739				1426.0	1426.0			oncokb	True
BCORL1	ENST00000540052	ENST00000218147				1711.0	1711.0			oncokb	True
BCR	ENST00000305877	ENST00000305877				1271.0	1271.0			oncokb	True
BIVM-ERCC5	ENST00000602836		ENST00000602836			1385.0		1385.0		mskcc	True
BRD3	ENST00000303407	ENST00000303407				726.0	726.0			oncokb	True
BRSK1	ENST00000309383	ENST00000309383				778.0	778.0			oncokb	True
BTG1	ENST00000256015	ENST00000256015				171.0	171.0			oncokb	True
BTG2	ENST00000290551	ENST00000290551				158.0	158.0			oncokb	True
BUB1B	ENST00000287598	ENST00000287598				1050.0	1050.0			oncokb	True
CACNA1D	ENST00000288139	ENST00000350061				2181.0	2161.0			oncokb	True
CAD	ENST00000264705	ENST00000264705				2225.0	2225.0			oncokb	True
CAMTA1	ENST00000303635	ENST00000303635				1673.0	1673.0			oncokb	True
CANT1	ENST00000302345	ENST00000302345				401.0	401.0			oncokb	True
CBFA2T3	ENST00000268679	ENST00000268679				653.0	653.0			oncokb	True
CBLB	ENST00000264122	ENST00000264122				982.0	982.0			oncokb	True
CCN6	ENST00000361714	ENST00000361714				372.0	372.0			oncokb	True
CCNB3	ENST00000376042	ENST00000276014				1395.0	1395.0			oncokb	True
CD19	ENST00000538922	ENST00000324662				557.0	556.0			oncokb	True
CD22	ENST00000085219	ENST00000085219				847.0	847.0			oncokb	True
CD28	ENST00000324106	ENST00000324106				220.0	220.0			oncokb	True
CD58	ENST00000369489	ENST00000369489				250.0	250.0			oncokb	True
CD70	ENST00000245903	ENST00000245903				193.0	193.0			oncokb	True
CD74	ENST00000009530	ENST00000009530				296.0	296.0			oncokb	True
CDH11	ENST00000268603	ENST00000268603				796.0	796.0			oncokb	True
CDH2	ENST00000269141	ENST00000269141				906.0	906.0			oncokb	True
CDH4	ENST00000360469	ENST00000360469				916.0	916.0			oncokb	True
CHD2	ENST00000394196	ENST00000394196				1828.0	1828.0			oncokb	True
CHD4	ENST00000357008	ENST00000357008				1912.0	1912.0			oncokb	True
CHTF8	ENST00000448552	ENST00000398235				121.0	121.0			oncokb	True
CIITA	ENST00000324288	ENST00000324288				1130.0	1130.0			oncokb	True
CLTCL1	ENST00000263200	ENST00000427926				1640.0	1640.0			oncokb	True
CNTRL	ENST00000373855	ENST00000238341				2325.0	2325.0			oncokb	True
COL1A1	ENST00000225964	ENST00000225964				1464.0	1464.0			oncokb	True
COL2A1	ENST00000380518	ENST00000380518				1487.0	1487.0			oncokb	True
CRBN	ENST00000231948	ENST00000231948				442.0	442.0			oncokb	True
CREB1	ENST00000432329	ENST00000432329				341.0	341.0			oncokb	True
CREB3L2	ENST00000330387	ENST00000330387				520.0	520.0			oncokb	True
CRTC1	ENST00000338797	ENST00000321949				650.0	634.0			oncokb	True
CTC1	ENST00000315684	ENST00000315684				1217.0	1217.0			oncokb	True
CTNNA1	ENST00000302763	ENST00000302763				906.0	906.0			oncokb	True
CUL4A	ENST00000375440	ENST00000375440				759.0	759.0			oncokb	True
CUX1	ENST00000360264	ENST00000292535				1516.0	1505.0			oncokb	True
DAZAP1	ENST00000233078	ENST00000233078				407.0	407.0			oncokb	True
DDB2	ENST00000256996	ENST00000256996				427.0	427.0			oncokb	True
DDIT3	ENST00000551116	ENST00000346473				192.0	169.0			oncokb	True
DDX3X	ENST00000399959	ENST00000399959				662.0	662.0			oncokb	True
DDX4	ENST00000505374	ENST00000505374				724.0	724.0			oncokb	True
DDX41	ENST00000507955	ENST00000507955				622.0	622.0			oncokb	True
DDX5	ENST00000225792	ENST00000225792				614.0	614.0			oncokb	True
DEK	ENST00000397239	ENST00000397239				375.0	375.0			oncokb	True
DKK1	ENST00000373970	ENST00000373970				266.0	266.0			oncokb	True
DKK2	ENST00000285311	ENST00000285311				259.0	259.0			oncokb	True
DKK3	ENST00000396505	ENST00000326932				350.0	350.0			oncokb	True
DKK4	ENST00000220812	ENST00000220812				224.0	224.0			oncokb	True
DNM2	ENST00000389253	ENST00000355667				870.0	870.0			oncokb	True
DPYD	ENST00000370192	ENST00000370192				1025.0	1025.0			oncokb	True
DTX1	ENST00000257600	ENST00000257600				620.0	620.0			oncokb	True
DUSP22	ENST00000344450	ENST00000344450				184.0	184.0			oncokb	True
EBF1	ENST00000313708	ENST00000313708				591.0	591.0			oncokb	True
ECSIT	ENST00000270517	ENST00000270517				431.0	431.0			oncokb	True
ECT2L	ENST00000423192	ENST00000367682				904.0	904.0			oncokb	True
EGR1	ENST00000239938	ENST00000239938				543.0	543.0			oncokb	True
EIF2B1	ENST00000424014	ENST00000424014				305.0	305.0			oncokb	True
EIF2C1				NM_012199.2	ENST00000373204				857.0	MSK-Impact	True
EIF3E	ENST00000220849	ENST00000220849				445.0	445.0			oncokb	True
ELF4	ENST00000308167	ENST00000308167				663.0	663.0			oncokb	True
ELK4	ENST00000357992	ENST00000357992				431.0	431.0			oncokb	True
ELL	ENST00000262809	ENST00000262809				621.0	621.0			oncokb	True
ELN	ENST00000252034	ENST00000252034				724.0	724.0			oncokb	True
EML4	ENST00000318522	ENST00000318522				981.0	981.0			oncokb	True
EMSY	ENST00000529032	ENST00000334736				1322.0	1322.0			oncokb	True
EP400	ENST00000389561	ENST00000389561				3123.0	3123.0			oncokb	True
EPHB4	ENST00000358173	ENST00000358173				987.0	987.0			oncokb	True
EPOR	ENST00000222139	ENST00000222139				508.0	508.0			oncokb	True
ERC1	ENST00000397203	ENST00000360905				1116.0	1116.0			oncokb	True
ERCC1	ENST00000013807	ENST00000300853				323.0	297.0			oncokb	True
ESCO2	ENST00000305188	ENST00000305188				601.0	601.0			oncokb	True
ETNK1	ENST00000266517	ENST00000266517				452.0	452.0			oncokb	True
ETS1	ENST00000392668	ENST00000319397				485.0	441.0			oncokb	True
ETV4	ENST00000319349	ENST00000319349				484.0	484.0			oncokb	True
ETV5	ENST00000306376	ENST00000306376				510.0	510.0			oncokb	True
EWSR1	ENST00000414183	ENST00000397938				661.0	656.0			oncokb	True
EXT1	ENST00000378204	ENST00000378204				746.0	746.0			oncokb	True
EZHIP	ENST00000342995	ENST00000342995		NM_203407.2		503.0	503.0			oncokb	True
FANCD2	ENST00000287647	ENST00000383807				1471.0	1451.0			oncokb	True
FANCE	ENST00000229769	ENST00000229769				536.0	536.0			oncokb	True
FANCF	ENST00000327470	ENST00000327470				374.0	374.0			oncokb	True
FANCG	ENST00000378643	ENST00000378643				622.0	622.0			oncokb	True
FANCL	ENST00000402135	ENST00000233741				380.0	375.0			oncokb	True
FANCM	ENST00000267430	ENST00000267430				2048.0	2048.0			oncokb	True
FAS	ENST00000355740	ENST00000355740				335.0	335.0			oncokb	True
FBXO11	ENST00000403359	ENST00000403359				927.0	927.0			oncokb	True
FBXW2	ENST00000608872	ENST00000608872				454.0	454.0			oncokb	True
FES	ENST00000328850	ENST00000328850				822.0	822.0			oncokb	True
FEV	ENST00000295727	ENST00000295727				238.0	238.0			oncokb	True
FGF1	ENST00000359370	ENST00000337706				155.0	155.0			oncokb	True
FGF10	ENST00000264664	ENST00000264664				208.0	208.0			oncokb	True
FGF14	ENST00000376131	ENST00000376143				252.0	247.0			oncokb	True
FGF2	ENST00000264498	ENST00000608478				288.0	155.0			oncokb	True
FGF23	ENST00000237837	ENST00000237837				251.0	251.0			oncokb	True
FGF5	ENST00000312465	ENST00000312465				268.0	268.0			oncokb	True
FGF6	ENST00000228837	ENST00000228837				208.0	208.0			oncokb	True
FGF7	ENST00000267843	ENST00000267843				194.0	194.0			oncokb	True
FGF8	ENST00000320185	ENST00000344255				244.0	233.0			oncokb	True
FGF9	ENST00000382353	ENST00000382353				208.0	208.0			oncokb	True
FHIT	ENST00000468189	ENST00000468189				147.0	147.0			oncokb	True
FIP1L1	ENST00000337488		ENST00000358575			594.0		588.0		mskcc	True
FLI1	ENST00000527786	ENST00000527786				452.0	452.0			oncokb	True
FOLH1	ENST00000256999	ENST00000256999				750.0	750.0			oncokb	True
FOLR1	ENST00000393679	ENST00000312293				257.0	257.0			oncokb	True
FOXN4	ENST00000299162	ENST00000299162				517.0	517.0			oncokb	True
FOXO3	ENST00000406360	ENST00000343882				673.0	673.0			oncokb	True
FRS2	ENST00000299293	ENST00000397997				508.0	508.0			oncokb	True
FSTL1	ENST00000295633	ENST00000295633				308.0	308.0			oncokb	True
FTSJD1				NM_001099642.1	ENST00000434935				770.0	MSK-Impact	True
FURIN	ENST00000268171	ENST00000268171				794.0	794.0			oncokb	True
FUS	ENST00000254108	ENST00000254108				526.0	526.0			oncokb	True
FZR1	ENST00000395095	ENST00000395095				496.0	496.0			oncokb	True
GABRA6	ENST00000274545	ENST00000274545				453.0	453.0			oncokb	True
GATA4	ENST00000335135	ENST00000335135				442.0	442.0			oncokb	True
GATA6	ENST00000269216	ENST00000269216				595.0	595.0			oncokb	True
GNA12	ENST00000275364	ENST00000275364				381.0	381.0			oncokb	True
GNA13	ENST00000439174	ENST00000439174				377.0	377.0			oncokb	True
GPC3	ENST00000394299	ENST00000370818				603.0	580.0			oncokb	True
GRB7	ENST00000445327	ENST00000309156				555.0	532.0			oncokb	True
GRM3	ENST00000361669	ENST00000361669				879.0	879.0			oncokb	True
GSTP1	ENST00000398606	ENST00000398606				210.0	210.0			oncokb	True
GTF2I	ENST00000573035	ENST00000324896				998.0	998.0			oncokb	True
H1-3	ENST00000244534	ENST00000244534				221.0	221.0			oncokb	True
H1-4	ENST00000304218	ENST00000304218				219.0	219.0			oncokb	True
H1-5	ENST00000331442	ENST00000331442				226.0	226.0			oncokb	True
H2AC11	ENST00000359193	ENST00000359193				130.0	130.0			oncokb	True
H2AC16		ENST00000357320					130.0			oncokb	True
H2AC17		ENST00000359611					130.0			oncokb	True
H2AC6	ENST00000602637	ENST00000314088				130.0	130.0			oncokb	True
H2BC11	ENST00000607124	ENST00000339812				126.0	126.0			oncokb	True
H2BC12	ENST00000396891	ENST00000356950				126.0	126.0			oncokb	True
H2BC4	ENST00000314332	ENST00000314332				126.0	126.0			oncokb	True
H2BC8		ENST00000244601					126.0			oncokb	True
H3C15	ENST00000403683	ENST00000403683				136.0	136.0			oncokb	True
H3P6	ENST00000316450	ENST00000316450								equal	True
HDAC1	ENST00000373548	ENST00000373548				482.0	482.0			oncokb	True
HDAC2	ENST00000519065	ENST00000519065				488.0	488.0			oncokb	True
HDAC4	ENST00000345617	ENST00000345617				1084.0	1084.0			oncokb	True
HDAC7	ENST00000080059	ENST00000427332				991.0	952.0			oncokb	True
HFE	ENST00000357618	ENST00000357618				348.0	348.0			oncokb	True
HIF1A	ENST00000539097	ENST00000337138				850.0	826.0			oncokb	True
HIRA	ENST00000263208	ENST00000263208				1017.0	1017.0			oncokb	True
HMGA1	ENST00000447654	ENST00000311487				107.0	107.0			oncokb	True
HMGA2	ENST00000403681	ENST00000403681				109.0	109.0			oncokb	True
HNF1B	ENST00000225893	ENST00000225893				557.0	557.0			oncokb	True
HOXA11	ENST00000006015	ENST00000006015				313.0	313.0			oncokb	True
HSD17B2	ENST00000199936	ENST00000199936				387.0	387.0			oncokb	True
HSD3B1	ENST00000369413	ENST00000369413				373.0	373.0			oncokb	True
HSP90AA1	ENST00000334701	ENST00000216281				854.0	732.0			oncokb	True
HTATIP2	ENST00000419348	ENST00000421577				276.0	242.0			oncokb	True
ID1	ENST00000376112	ENST00000376112				155.0	155.0			oncokb	True
IFNAR1	ENST00000270139	ENST00000270139				557.0	557.0			oncokb	True
IKZF3	ENST00000346872	ENST00000346872				509.0	509.0			oncokb	True
IL3	ENST00000296870	ENST00000296870				152.0	152.0			oncokb	True
IL6ST	ENST00000381298	ENST00000336909				918.0	918.0			oncokb	True
ING1	ENST00000375774	ENST00000375774				422.0	422.0			oncokb	True
INSRR	ENST00000368195		ENST00000368195			1297.0		1297.0		mskcc	True
INTS6	ENST00000311234	ENST00000311234				887.0	887.0			oncokb	True
IQGAP1	ENST00000268182	ENST00000268182				1657.0	1657.0			oncokb	True
IRF1	ENST00000245414	ENST00000245414				325.0	325.0			oncokb	True
IRF2	ENST00000393593	ENST00000393593				349.0	349.0			oncokb	True
IRF8	ENST00000268638	ENST00000268638				426.0	426.0			oncokb	True
ITPKB	ENST00000429204	ENST00000272117				946.0	946.0			oncokb	True
JARID2	ENST00000341776	ENST00000341776				1246.0	1246.0			oncokb	True
JAZF1	ENST00000283928	ENST00000283928				243.0	243.0			oncokb	True
KAT6A	ENST00000396930	ENST00000265713				2004.0	2004.0			oncokb	True
KAT7	ENST00000259021	ENST00000259021				611.0	611.0			oncokb	True
KDM5D	ENST00000317961	ENST00000317961				1539.0	1539.0			oncokb	True
KEL	ENST00000355265	ENST00000355265				732.0	732.0			oncokb	True
KLF2	ENST00000248071	ENST00000248071				355.0	355.0			oncokb	True
KLF3	ENST00000261438	ENST00000261438				345.0	345.0			oncokb	True
KLHL6	ENST00000341319	ENST00000341319				621.0	621.0			oncokb	True
KSR2	ENST00000339824	ENST00000339824				950.0	950.0			oncokb	True
