Hugo Symbol	ensembl	oncokb	mskcc	MSK-Impact
CCNB3	ENST00000376042	ENST00000276014		
CCND1	ENST00000227507	ENST00000227507	ENST00000227507	NM_053056.2
CCND2	ENST00000261254	ENST00000261254	ENST00000261254	NM_001759.3
CCND3	ENST00000372991	ENST00000372991	ENST00000372991	NM_001760.3
CCNE1	ENST00000262643	ENST00000262643	ENST00000262643	NM_001238.2
CCNQ	ENST00000576892	ENST00000576892	ENST00000406277	ENST00000406277
CD19	ENST00000538922	ENST00000324662		
CD22	ENST00000085219	ENST00000085219		
CD274	ENST00000381577	ENST00000381577	ENST00000381577	NM_014143.3
CD276	ENST00000318443	ENST00000318443	ENST00000318443	NM_001024736.1
CD28	ENST00000324106	ENST00000324106		
CD58	ENST00000369489	ENST00000369489		
CD70	ENST00000245903	ENST00000245903		
CD74	ENST00000009530	ENST00000009530		
CD79A	ENST00000221972	ENST00000221972	ENST00000221972	NM_001783.3
CD79B	ENST00000392795	ENST00000392795	ENST00000392795	NM_001039933.1
CDC42	ENST00000344548	ENST00000344548	ENST00000400259	NM_001791.3
CDC73	ENST00000367435	ENST00000367435	ENST00000367435	NM_024529.4
CDH1	ENST00000261769	ENST00000261769	ENST00000261769	NM_004360.3
CDH11	ENST00000268603	ENST00000268603		
CDH2	ENST00000269141	ENST00000269141		
CDH4	ENST00000360469	ENST00000360469		
CDK12	ENST00000447079	ENST00000447079	ENST00000447079	NM_016507.2
CDK4	ENST00000257904	ENST00000257904	ENST00000257904	NM_000075.3
CDK6	ENST00000265734	ENST00000265734	ENST00000424848	NM_001145306.1
CDK8	ENST00000381527	ENST00000381527	ENST00000381527	NM_001260.1
CDKN1A	ENST00000405375	ENST00000244741	ENST00000244741	NM_078467.2
CDKN1B	ENST00000228872	ENST00000228872	ENST00000228872	NM_004064.3
CDKN1C	ENST00000414822			
CDKN2A	ENST00000498124	ENST00000304494	ENST00000304494,ENST00000361570	
CDKN2B	ENST00000276925	ENST00000276925	ENST00000276925	NM_004936.3
CDKN2C	ENST00000262662	ENST00000262662	ENST00000371761	NM_078626.2
CEBPA	ENST00000498907	ENST00000498907	ENST00000498907	NM_004364.3
CENPA	ENST00000335756	ENST00000335756	ENST00000335756	NM_001809.3
CHD2	ENST00000394196	ENST00000394196		
CHD4	ENST00000357008	ENST00000357008		
CHEK1	ENST00000534070	ENST00000428830	ENST00000534070	NM_001274.5
CHEK2	ENST00000382580	ENST00000328354	ENST00000328354	NM_007194.3
CHTF8	ENST00000448552	ENST00000398235		
CIC	ENST00000575354	ENST00000575354	ENST00000575354	NM_015125.3
CIITA	ENST00000324288	ENST00000324288		
CLTCL1	ENST00000263200	ENST00000427926		
CMTR2	ENST00000338099	ENST00000338099	ENST00000434935	
CNTRL	ENST00000373855	ENST00000238341		
COL1A1	ENST00000225964	ENST00000225964		
COL2A1	ENST00000380518	ENST00000380518		
COP1	ENST00000367669	ENST00000367669	ENST00000367669	NM_022457.5
CRBN	ENST00000231948	ENST00000231948		
CREB1	ENST00000432329	ENST00000432329		
CREB3L2	ENST00000330387	ENST00000330387		
CREBBP	ENST00000262367	ENST00000262367	ENST00000262367	NM_004380.2
CREM	ENST00000345491			
CRKL	ENST00000354336	ENST00000354336	ENST00000354336	NM_005207.3
CRLF2	ENST00000381567	ENST00000381566	ENST00000381567	NM_022148.2
CRTC1	ENST00000338797	ENST00000321949		
CSDE1	ENST00000438362	ENST00000438362	ENST00000438362	NM_001242891.1
CSF1R	ENST00000286301	ENST00000286301	ENST00000286301	NM_005211.3
CSF3R	ENST00000373103	ENST00000361632	ENST00000373106	NM_000760.3
CTC1	ENST00000315684	ENST00000315684		
CTCF	ENST00000264010	ENST00000264010	ENST00000264010	NM_006565.3
CTDNEP1	ENST00000573600			
CTLA4	ENST00000302823	ENST00000302823	ENST00000302823	NM_005214.4
CTNNA1	ENST00000302763	ENST00000302763		
CTNNB1	ENST00000349496	ENST00000349496	ENST00000349496	NM_001904.3
CTR9	ENST00000361367	ENST00000361367	ENST00000361367	NM_014633.3
CUL3	ENST00000264414	ENST00000264414	ENST00000264414	NM_003590.4
CUL4A	ENST00000375440	ENST00000375440		
CUX1	ENST00000360264	ENST00000292535		
CXCR4	ENST00000409817	ENST00000241393	ENST00000241393	NM_003467.2
CYLD	ENST00000427738	ENST00000398568	ENST00000569418	NM_001042355.1
CYP19A1	ENST00000396402	ENST00000260433	ENST00000396402	NM_000103.3
CYSLTR2	ENST00000282018	ENST00000282018	ENST00000282018	NM_020377.2
DAXX	ENST00000374542	ENST00000374542	ENST00000374542	NM_001141970.1
DAZAP1	ENST00000233078	ENST00000233078		
DCUN1D1	ENST00000292782	ENST00000292782	ENST00000292782	NM_020640.2
DDB2	ENST00000256996	ENST00000256996		
DDIT3	ENST00000551116	ENST00000346473		
DDR2	ENST00000367922	ENST00000367921	ENST00000367921	NM_006182.2
DDX3X	ENST00000399959	ENST00000399959		
DDX4	ENST00000505374	ENST00000505374		
DDX41	ENST00000507955	ENST00000507955		
DDX5	ENST00000225792	ENST00000225792		
DEK	ENST00000397239	ENST00000397239		
DHX15	ENST00000336812			
DICER1	ENST00000526495	ENST00000393063	ENST00000343455	NM_177438.2
DIS3	ENST00000377767	ENST00000377767	ENST00000377767	NM_014953.3
DIS3L2	ENST00000325385			
DKK1	ENST00000373970	ENST00000373970		
DKK2	ENST00000285311	ENST00000285311		
DKK3	ENST00000396505	ENST00000326932		
DKK4	ENST00000220812	ENST00000220812		
DNAJB1	ENST00000254322	ENST00000254322	ENST00000254322	NM_006145.1
DNM2	ENST00000389253	ENST00000355667		
DNMT1	ENST00000359526	ENST00000340748	ENST00000540357	NM_001379.2
DNMT3A	ENST00000264709	ENST00000264709	ENST00000321117	NM_022552.4
DNMT3B	ENST00000328111	ENST00000328111	ENST00000328111	NM_006892.3
DOT1L	ENST00000398665	ENST00000398665	ENST00000398665	NM_032482.2
DPYD	ENST00000370192	ENST00000370192		
DROSHA	ENST00000511367	ENST00000344624	ENST00000511367	NM_013235.4
DTX1	ENST00000257600	ENST00000257600		
DUSP22	ENST00000344450	ENST00000344450		
DUSP4	ENST00000240100	ENST00000240100	ENST00000240100	NM_001394.6
E2F3	ENST00000346618	ENST00000346618	ENST00000346618	NM_001949.4
EBF1	ENST00000313708	ENST00000313708		
ECSIT	ENST00000270517	ENST00000270517		
ECT2L	ENST00000423192	ENST00000367682		
EED	ENST00000263360	ENST00000263360	ENST00000263360	NM_003797.3
EGFL7	ENST00000371699	ENST00000308874	ENST00000371698	NM_201446.2
EGFR	ENST00000275493	ENST00000275493	ENST00000275493	NM_005228.3
EGR1	ENST00000239938	ENST00000239938		
EGR2	ENST00000242480			
EIF1AX	ENST00000379607	ENST00000379607	ENST00000379607	NM_001412.3
EIF2B1	ENST00000424014	ENST00000424014		
EIF2C1				NM_012199.2
EIF3E	ENST00000220849	ENST00000220849		
EIF4A2	ENST00000323963	ENST00000323963	ENST00000440191	NM_001967.3
EIF4E	ENST00000505992	ENST00000280892	ENST00000280892	NM_001130678.1
ELF3	ENST00000359651	ENST00000359651	ENST00000367284	NM_004433.4
ELF4	ENST00000308167	ENST00000308167		
ELK4	ENST00000357992	ENST00000357992		
ELL	ENST00000262809	ENST00000262809		
ELL2	ENST00000237853			
ELN	ENST00000252034	ENST00000252034		
ELOC	ENST00000518127	ENST00000284811	ENST00000520242	NM_005648.3
EML4	ENST00000318522	ENST00000318522		
EMSY	ENST00000529032	ENST00000334736		
EP300	ENST00000263253	ENST00000263253	ENST00000263253	NM_001429.3
EP400	ENST00000389561	ENST00000389561		
EPAS1	ENST00000263734	ENST00000263734	ENST00000263734	NM_001430.4
EPCAM	ENST00000263735	ENST00000263735	ENST00000263735	NM_002354.2
EPHA3	ENST00000336596	ENST00000336596	ENST00000336596	NM_005233.5
EPHA5	ENST00000273854	ENST00000273854	ENST00000273854	NM_004439.5
EPHA7	ENST00000369303	ENST00000369303	ENST00000369303	NM_004440.3
EPHB1	ENST00000398015	ENST00000398015	ENST00000398015	NM_004441.4
EPHB4	ENST00000358173	ENST00000358173		
EPOR	ENST00000222139	ENST00000222139		
ERBB2	ENST00000269571	ENST00000269571	ENST00000540147	NM_004448.2
ERBB3	ENST00000267101	ENST00000267101	ENST00000267101	NM_001982.3
ERBB4	ENST00000342788	ENST00000342788	ENST00000342788	NM_005235.2
ERC1	ENST00000397203	ENST00000360905		
ERCC1	ENST00000013807	ENST00000300853		
ERCC2	ENST00000391945	ENST00000391945	ENST00000391945	NM_000400.3
ERCC3	ENST00000285398	ENST00000285398	ENST00000285398	NM_000122.1
ERCC4	ENST00000311895	ENST00000311895	ENST00000311895	NM_005236.2
ERCC5	ENST00000355739	ENST00000355739	ENST00000355739	NM_000123.3
ERCC6	ENST00000355832			
ERF	ENST00000222329	ENST00000222329	ENST00000222329	NM_006494.2
ERG	ENST00000417133	ENST00000288319	ENST00000288319	NM_182918.3
ERRFI1	ENST00000377482	ENST00000377482	ENST00000377482	NM_018948.3
ESCO2	ENST00000305188	ENST00000305188		
ESR1	ENST00000440973	ENST00000206249	ENST00000443427	NM_001122740.1
ETAA1	ENST00000272342	ENST00000272342	ENST00000272342	NM_019002.3
ETNK1	ENST00000266517	ENST00000266517		
ETS1	ENST00000392668	ENST00000319397		
ETV1	ENST00000430479	ENST00000405192	ENST00000405192	NM_001163147.1
ETV4	ENST00000319349	ENST00000319349		
ETV5	ENST00000306376	ENST00000306376		
ETV6	ENST00000396373	ENST00000396373	ENST00000396373	NM_001987.4
EWSR1	ENST00000414183	ENST00000397938		
EXT1	ENST00000378204	ENST00000378204		
EZH1	ENST00000428826	ENST00000428826	ENST00000415827	NM_001991.3
EZH2	ENST00000320356	ENST00000320356	ENST00000320356	NM_004456.4
EZHIP	ENST00000342995	ENST00000342995		NM_203407.2
FANCA	ENST00000389301	ENST00000389301	ENST00000389301	NM_000135.2
FANCB	ENST00000398334			
FANCC	ENST00000289081	ENST00000289081	ENST00000289081	NM_000136.2
FANCD2	ENST00000287647	ENST00000383807		
FANCE	ENST00000229769	ENST00000229769		
FANCF	ENST00000327470	ENST00000327470		
FANCG	ENST00000378643	ENST00000378643		
FANCI	ENST00000310775			
FANCL	ENST00000402135	ENST00000233741		
FANCM	ENST00000267430	ENST00000267430		
FAS	ENST00000355740	ENST00000355740		
FAT1	ENST00000441802	ENST00000441802	ENST00000441802	NM_005245.3
FBXO11	ENST00000403359	ENST00000403359		
FBXW2	ENST00000608872	ENST00000608872		
FBXW7	ENST00000281708	ENST00000281708	ENST00000281708	NM_033632.3
FES	ENST00000328850	ENST00000328850		
FEV	ENST00000295727	ENST00000295727		
FGF1	ENST00000359370	ENST00000337706		
FGF10	ENST00000264664	ENST00000264664		
FGF14	ENST00000376131	ENST00000376143		
FGF19	ENST00000294312	ENST00000294312	ENST00000294312	NM_005117.2
FGF2	ENST00000264498	ENST00000608478		
FGF23	ENST00000237837	ENST00000237837		
FGF3	ENST00000334134	ENST00000334134	ENST00000334134	NM_005247.2
FGF4	ENST00000168712	ENST00000168712	ENST00000168712	NM_002007.2
FGF5	ENST00000312465	ENST00000312465		
FGF6	ENST00000228837	ENST00000228837		
FGF7	ENST00000267843	ENST00000267843		
FGF8	ENST00000320185	ENST00000344255		
FGF9	ENST00000382353	ENST00000382353		
FGFR1	ENST00000425967	ENST00000425967	ENST00000425967	NM_001174067.1
FGFR2	ENST00000457416	ENST00000358487	ENST00000358487	NM_000141.4
FGFR3	ENST00000340107	ENST00000260795	ENST00000440486	NM_000142.4
FGFR4	ENST00000292408	ENST00000292408	ENST00000292408	NM_213647.1
FH	ENST00000366560	ENST00000366560	ENST00000366560	NM_000143.3
FHIT	ENST00000468189	ENST00000468189		
FIP1L1	ENST00000337488		ENST00000358575	
FLCN	ENST00000285071	ENST00000285071	ENST00000285071	NM_144997.5
FLI1	ENST00000527786	ENST00000527786		
FLT1	ENST00000282397	ENST00000282397	ENST00000282397	NM_002019.4
FLT3	ENST00000241453	ENST00000241453	ENST00000241453	NM_004119.2
FLT4	ENST00000261937	ENST00000261937	ENST00000261937	NM_182925.4
FOLH1	ENST00000256999	ENST00000256999		
FOLR1	ENST00000393679	ENST00000312293		
FOXA1	ENST00000250448	ENST00000250448	ENST00000250448	NM_004496.3
FOXF1	ENST00000262426	ENST00000262426	ENST00000262426	NM_001451.2
FOXL2	ENST00000330315	ENST00000330315	ENST00000330315	NM_023067.3
FOXN4	ENST00000299162	ENST00000299162		
FOXO1	ENST00000379561	ENST00000379561	ENST00000379561	NM_002015.3
FOXO3	ENST00000406360	ENST00000343882		
FOXP1	ENST00000491238	ENST00000318789	ENST00000498215	NM_001244814.1
FRS2	ENST00000299293	ENST00000397997		
FSTL1	ENST00000295633	ENST00000295633		
FTSJD1				NM_001099642.1
FUBP1	ENST00000370768	ENST00000370768	ENST00000370768	NM_003902.3
FURIN	ENST00000268171	ENST00000268171		
FUS	ENST00000254108	ENST00000254108		
FYN	ENST00000354650	ENST00000368678	ENST00000538466	NM_153047.3
FZR1	ENST00000395095	ENST00000395095		
GAB1	ENST00000262995	ENST00000262994	ENST00000262995	NM_207123.2
GAB2	ENST00000361507	ENST00000361507	ENST00000361507	NM_080491.2
GABRA6	ENST00000274545	ENST00000274545		
GATA1	ENST00000376670	ENST00000376670	ENST00000376670	NM_002049.3
GATA2	ENST00000341105	ENST00000341105	ENST00000341105	NM_032638.4
GATA3	ENST00000379328	ENST00000346208	ENST00000379328	NM_002051.2
GATA4	ENST00000335135	ENST00000335135		
GATA6	ENST00000269216	ENST00000269216		
GEN1	ENST00000381254			
GLI1	ENST00000228682	ENST00000228682	ENST00000228682	NM_005269.2
GNA11	ENST00000078429	ENST00000078429	ENST00000078429	NM_002067.2
GNA12	ENST00000275364	ENST00000275364		
GNA13	ENST00000439174	ENST00000439174		
GNAQ	ENST00000286548	ENST00000286548	ENST00000286548	NM_002072.3
GNAS	ENST00000371100	ENST00000371085	ENST00000371085	NM_000516.4
GNB1	ENST00000378609	ENST00000378609	ENST00000378609	NM_002074.3
GPC3	ENST00000394299	ENST00000370818		
GPS2	ENST00000380728	ENST00000380728	ENST00000389167	NM_004489.4
GRB7	ENST00000445327	ENST00000309156		
GREM1	ENST00000300177	ENST00000300177	ENST00000300177	NM_013372.6
GRIN2A	ENST00000396573	ENST00000330684	ENST00000330684	NM_001134407.1
GRM3	ENST00000361669	ENST00000361669		
GSK3B	ENST00000316626	ENST00000316626	ENST00000264235	NM_002093.3
GSTP1	ENST00000398606	ENST00000398606		
GTF2I	ENST00000573035	ENST00000324896		
H1-2	ENST00000343677	ENST00000343677	ENST00000343677	NM_005319.3
H1-3	ENST00000244534	ENST00000244534		
H1-4	ENST00000304218	ENST00000304218		
H1-5	ENST00000331442	ENST00000331442		
H2AC11	ENST00000359193	ENST00000359193		
H2AC16		ENST00000357320		
H2AC17		ENST00000359611		
H2AC6	ENST00000602637	ENST00000314088		
H2BC11	ENST00000607124	ENST00000339812		
H2BC12	ENST00000396891	ENST00000356950		
H2BC17				
H2BC4	ENST00000314332	ENST00000314332		
H2BC5	ENST00000289316	ENST00000289316	ENST00000377777	NM_021063.3
H2BC8		ENST00000244601		
H3-3A	ENST00000366813	ENST00000366813	ENST00000366815	NM_002107.4
H3-3B	ENST00000254810	ENST00000254810	ENST00000254810	NM_005324.3
H3-4	ENST00000366696	ENST00000366696	ENST00000366696	NM_003493.2
H3-5	ENST00000340398	ENST00000340398	ENST00000340398	NM_001013699.2
H3C1		ENST00000357647	ENST00000357647	NM_003529.2
H3C10		ENST00000369163	ENST00000369163	NM_003536.2
H3C11		ENST00000328488	ENST00000328488	NM_003533.2
H3C12	ENST00000359303	ENST00000359303	ENST00000359303	NM_003535.2
H3C13	ENST00000331491	ENST00000331491	ENST00000331491	NM_001123375.2
H3C14	ENST00000369158	ENST00000369158	ENST00000369158	NM_021059.2
H3C15	ENST00000403683	ENST00000403683		
H3C2		ENST00000244661	ENST00000244661	NM_003537.3
H3C3		ENST00000540144	ENST00000540144	NM_003531.2
H3C4	ENST00000377831	ENST00000356476	ENST00000377831	NM_003530.4
H3C6		ENST00000360408	ENST00000360408	NM_003532.2
H3C7		ENST00000446824	ENST00000446824	NM_021018.2
H3C8		ENST00000305910	ENST00000305910	NM_003534.2
H3P6	ENST00000316450	ENST00000316450		
H4C6				
HDAC1	ENST00000373548	ENST00000373548		
HDAC2	ENST00000519065	ENST00000519065		
HDAC4	ENST00000345617	ENST00000345617		
HDAC7	ENST00000080059	ENST00000427332		
HFE	ENST00000357618	ENST00000357618		
HGF	ENST00000222390	ENST00000222390	ENST00000222390	NM_000601.4
HIF1A	ENST00000539097	ENST00000337138		
HIRA	ENST00000263208	ENST00000263208		
HLA-A	ENST00000396634	ENST00000376809	ENST00000376809	NM_001242758.1
HLA-B	ENST00000412585	ENST00000412585	ENST00000412585	NM_005514.6
HLA-C	ENST00000376228	ENST00000376228	ENST00000376228	NM_002117.5
HMGA1	ENST00000447654	ENST00000311487		
HMGA2	ENST00000403681	ENST00000403681		
HNF1A	ENST00000257555	ENST00000257555	ENST00000541395	NM_000545.5
HNF1B	ENST00000225893	ENST00000225893		
HOXA11	ENST00000006015	ENST00000006015		
HOXB13	ENST00000290295	ENST00000290295	ENST00000290295	NM_006361.5
HRAS	ENST00000451590	ENST00000451590	ENST00000451590	NM_005343.2
HSD17B2	ENST00000199936	ENST00000199936		
HSD3B1	ENST00000369413	ENST00000369413		
HSP90AA1	ENST00000334701	ENST00000216281		
HTATIP2	ENST00000419348	ENST00000421577		
ICOSLG	ENST00000407780	ENST00000407780	ENST00000400379	NM_015259.4
ID1	ENST00000376112	ENST00000376112		
ID3	ENST00000374561	ENST00000374561	ENST00000374561	NM_002167.4
IDH1	ENST00000415913	ENST00000345146	ENST00000345146	NM_005896.2
IDH2	ENST00000330062	ENST00000330062	ENST00000330062	NM_002168.2
IFNAR1	ENST00000270139	ENST00000270139		
IFNGR1	ENST00000367739	ENST00000367739	ENST00000367739	NM_000416.2
IGF1	ENST00000307046	ENST00000307046	ENST00000307046	NM_001111285.1
IGF1R	ENST00000268035	ENST00000268035	ENST00000268035	NM_000875.3
IGF2	ENST00000434045	ENST00000434045	ENST00000434045	NM_001127598.1
IKBKE	ENST00000581977	ENST00000367120	ENST00000367120	NM_014002.3
IKZF1	ENST00000439701	ENST00000331340	ENST00000331340	ENST00000331340
IKZF3	ENST00000346872	ENST00000346872		
IL10	ENST00000423557	ENST00000423557	ENST00000423557	NM_000572.2
IL3	ENST00000296870	ENST00000296870		
IL6ST	ENST00000381298	ENST00000336909		
IL7R	ENST00000303115	ENST00000303115	ENST00000303115	NM_002185.3
ING1	ENST00000375774	ENST00000375774		
INHA	ENST00000243786	ENST00000243786	ENST00000243786	NM_002191.3
INHBA	ENST00000242208	ENST00000242208	ENST00000242208	NM_002192.2
INPP4A	ENST00000074304	ENST00000074304	ENST00000074304	NM_001134224.1
INPP4B	ENST00000513000	ENST00000262992	ENST00000262992	NM_001101669.1
INPPL1	ENST00000298229	ENST00000298229	ENST00000298229	NM_001567.3
INSR	ENST00000302850	ENST00000302850	ENST00000302850	NM_000208.2
INSRR	ENST00000368195		ENST00000368195	
INTS6	ENST00000311234	ENST00000311234		
IQGAP1	ENST00000268182	ENST00000268182		
IRF1	ENST00000245414	ENST00000245414		
IRF2	ENST00000393593	ENST00000393593		
IRF4	ENST00000380956	ENST00000380956	ENST00000380956	NM_002460.3
IRF8	ENST00000268638	ENST00000268638		
IRS1	ENST00000305123	ENST00000305123	ENST00000305123	NM_005544.2
IRS2	ENST00000375856	ENST00000375856	ENST00000375856	NM_003749.2
ITPKB	ENST00000429204	ENST00000272117		
JAK1	ENST00000342505	ENST00000342505	ENST00000342505	NM_002227.2
JAK2	ENST00000381652	ENST00000381652	ENST00000381652	NM_004972.3
JAK3	ENST00000458235	ENST00000458235	ENST00000458235	NM_000215.3
JARID2	ENST00000341776	ENST00000341776		
JAZF1	ENST00000283928	ENST00000283928		
JUN	ENST00000371222	ENST00000371222	ENST00000371222	NM_002228.3
KAT6A	ENST00000396930	ENST00000265713		
KAT7	ENST00000259021	ENST00000259021		
KBTBD4	ENST00000430070	ENST00000395288	ENST00000430070	NM_018095.4
KDM5A	ENST00000399788	ENST00000399788	ENST00000399788	NM_001042603.1
KDM5C	ENST00000375401	ENST00000375401	ENST00000375401	NM_004187.3
KDM5D	ENST00000317961	ENST00000317961		
KDM6A	ENST00000377967	ENST00000377967	ENST00000377967	NM_021140.2
KDR	ENST00000263923	ENST00000263923	ENST00000263923	NM_002253.2
KEAP1	ENST00000171111	ENST00000171111	ENST00000171111	NM_203500.1
